geslacht_src,lft_src,geslacht_dst,lft_dst,n
Man,"[80,120]",Vrouw,"[0,20)",1620
Man,"[80,120]",Vrouw,"[20,30)",610
Man,"[80,120]",Vrouw,"[50,60)",2970
Man,"[80,120]",Vrouw,"[70,80)",9910
Man,"[80,120]",Vrouw,"[80,120]",31910
Vrouw,"[0,20)",Man,"[0,20)",127090
Vrouw,"[0,20)",Man,"[20,30)",41160
Vrouw,"[0,20)",Man,"[30,40)",48710
Vrouw,"[0,20)",Man,"[40,50)",50850
Vrouw,"[0,20)",Man,"[50,60)",28710
Vrouw,"[0,20)",Man,"[60,70)",13240
Vrouw,"[0,20)",Man,"[70,80)",11570
Vrouw,"[0,20)",Man,"[80,120]",1620
Vrouw,"[0,20)",Vrouw,"[0,20)",122230
Vrouw,"[0,20)",Vrouw,"[20,30)",42890
Vrouw,"[0,20)",Vrouw,"[30,40)",58570
Vrouw,"[0,20)",Vrouw,"[40,50)",60370
Vrouw,"[0,20)",Vrouw,"[50,60)",26830
Vrouw,"[0,20)",Vrouw,"[60,70)",15760
Vrouw,"[0,20)",Vrouw,"[70,80)",10660
Vrouw,"[0,20)",Vrouw,"[80,120]",320
Vrouw,"[20,30)",Man,"[0,20)",48200
Vrouw,"[20,30)",Man,"[20,30)",40970
Vrouw,"[20,30)",Man,"[30,40)",43630
Vrouw,"[20,30)",Man,"[40,50)",21750
Vrouw,"[20,30)",Man,"[50,60)",24200
Vrouw,"[20,30)",Man,"[60,70)",14130
Vrouw,"[20,30)",Man,"[70,80)",4500
Vrouw,"[20,30)",Man,"[80,120]",610
Vrouw,"[20,30)",Vrouw,"[0,20)",42890
Vrouw,"[20,30)",Vrouw,"[20,30)",41820
Vrouw,"[20,30)",Vrouw,"[30,40)",22680
Vrouw,"[20,30)",Vrouw,"[40,50)",22170
Vrouw,"[20,30)",Vrouw,"[50,60)",24410
Vrouw,"[20,30)",Vrouw,"[60,70)",12620
Vrouw,"[20,30)",Vrouw,"[70,80)",4120
Vrouw,"[20,30)",Vrouw,"[80,120]",1010
Vrouw,"[30,40)",Man,"[0,20)",62170
Vrouw,"[30,40)",Man,"[20,30)",24250
Vrouw,"[30,40)",Man,"[30,40)",222630
Vrouw,"[30,40)",Man,"[40,50)",34060
Vrouw,"[30,40)",Man,"[50,60)",13190
Vrouw,"[30,40)",Man,"[60,70)",12460
Vrouw,"[30,40)",Man,"[70,80)",6280
Vrouw,"[30,40)",Vrouw,"[0,20)",58560
Vrouw,"[30,40)",Vrouw,"[20,30)",22680
Vrouw,"[30,40)",Vrouw,"[30,40)",25270
Vrouw,"[30,40)",Vrouw,"[40,50)",12470
Vrouw,"[30,40)",Vrouw,"[50,60)",12930
Vrouw,"[30,40)",Vrouw,"[60,70)",15530
Vrouw,"[30,40)",Vrouw,"[70,80)",4710
Vrouw,"[40,50)",Man,"[0,20)",59900
Vrouw,"[40,50)",Man,"[20,30)",17190
Vrouw,"[40,50)",Man,"[30,40)",19740
Vrouw,"[40,50)",Man,"[40,50)",51430
Vrouw,"[40,50)",Man,"[50,60)",45740
Vrouw,"[40,50)",Man,"[60,70)",7980
Vrouw,"[40,50)",Man,"[70,80)",5600
Vrouw,"[40,50)",Vrouw,"[0,20)",60370
Vrouw,"[40,50)",Vrouw,"[20,30)",22170
