etngrp_src,oplniv_src,etngrp_dst,oplniv_dst,n
Surinaams,1,Turks,2,7930
Surinaams,1,Turks,3,2080
Surinaams,2,Autochtoon,1,49500
Surinaams,2,Autochtoon,2,39470
Surinaams,2,Autochtoon,3,48920
Surinaams,2,Marokkaans,1,32230
Surinaams,2,Marokkaans,2,11870
Surinaams,2,Marokkaans,3,4240
Surinaams,2,Overig,1,69640
Surinaams,2,Overig,2,44230
Surinaams,2,Overig,3,38740
Surinaams,2,Surinaams,1,39880
Surinaams,2,Surinaams,2,33900
Surinaams,2,Surinaams,3,12930
Surinaams,2,Turks,1,16110
Surinaams,2,Turks,2,7860
Surinaams,2,Turks,3,2210
Surinaams,3,Autochtoon,1,24220
Surinaams,3,Autochtoon,2,21280
Surinaams,3,Autochtoon,3,34170
Surinaams,3,Marokkaans,1,9320
Surinaams,3,Marokkaans,2,3890
Surinaams,3,Marokkaans,3,1550
Surinaams,3,Overig,1,27710
Surinaams,3,Overig,2,19830
Surinaams,3,Overig,3,18950
Surinaams,3,Surinaams,1,12260
Surinaams,3,Surinaams,2,12770
Surinaams,3,Surinaams,3,6410
Surinaams,3,Turks,1,4940
Surinaams,3,Turks,2,2370
Surinaams,3,Turks,3,1010
Turks,1,Autochtoon,1,56670
Turks,1,Autochtoon,2,39990
Turks,1,Autochtoon,3,41860
Turks,1,Marokkaans,1,102240
Turks,1,Marokkaans,2,33790
Turks,1,Marokkaans,3,9300
Turks,1,Overig,1,63320
Turks,1,Overig,2,42030
Turks,1,Overig,3,36630
Turks,1,Surinaams,1,19590
Turks,1,Surinaams,2,16130
Turks,1,Surinaams,3,4740
Turks,1,Turks,1,72980
Turks,1,Turks,2,36430
Turks,1,Turks,3,6680
Turks,2,Autochtoon,1,27280
Turks,2,Autochtoon,2,19160
Turks,2,Autochtoon,3,21790
Turks,2,Marokkaans,1,37330
Turks,2,Marokkaans,2,13460
Turks,2,Marokkaans,3,4990
Turks,2,Overig,1,26310
Turks,2,Overig,2,16280
Turks,2,Overig,3,13430
Turks,2,Surinaams,1,7870
Turks,2,Surinaams,2,8240
Turks,2,Surinaams,3,2310
Turks,2,Turks,1,33810
Turks,2,Turks,2,12310
Turks,2,Turks,3,3990
Turks,3,Autochtoon,1,11520
Turks,3,Autochtoon,2,9100
Turks,3,Autochtoon,3,15680
Turks,3,Marokkaans,1,10080
Turks,3,Marokkaans,2,3780
Turks,3,Marokkaans,3,1530
Turks,3,Overig,1,11960
Turks,3,Overig,2,9610
Turks,3,Overig,3,12140
Turks,3,Surinaams,1,2170
Turks,3,Surinaams,2,2230
Turks,3,Surinaams,3,990
Turks,3,Turks,1,6490
Turks,3,Turks,2,3740
Turks,3,Turks,3,1320
