etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Autochtoon,Vrouw,1,Surinaams,Vrouw,3,3590
Autochtoon,Vrouw,1,Turks,Man,1,22890
Autochtoon,Vrouw,1,Turks,Man,2,3110
Autochtoon,Vrouw,1,Turks,Man,3,550
Autochtoon,Vrouw,1,Turks,Vrouw,1,23750
Autochtoon,Vrouw,1,Turks,Vrouw,2,6540
Autochtoon,Vrouw,1,Turks,Vrouw,3,1170
Autochtoon,Vrouw,2,Autochtoon,Man,1,26950
Autochtoon,Vrouw,2,Autochtoon,Man,2,188740
Autochtoon,Vrouw,2,Autochtoon,Man,3,157570
Autochtoon,Vrouw,2,Autochtoon,Vrouw,1,42680
Autochtoon,Vrouw,2,Autochtoon,Vrouw,2,316390
Autochtoon,Vrouw,2,Autochtoon,Vrouw,3,259880
Autochtoon,Vrouw,2,Marokkaans,Man,1,12100
Autochtoon,Vrouw,2,Marokkaans,Man,2,22580
Autochtoon,Vrouw,2,Marokkaans,Man,3,6290
Autochtoon,Vrouw,2,Marokkaans,Vrouw,1,14670
Autochtoon,Vrouw,2,Marokkaans,Vrouw,2,46360
Autochtoon,Vrouw,2,Marokkaans,Vrouw,3,10990
Autochtoon,Vrouw,2,Overig,Man,1,28820
Autochtoon,Vrouw,2,Overig,Man,2,94180
Autochtoon,Vrouw,2,Overig,Man,3,75140
Autochtoon,Vrouw,2,Overig,Vrouw,1,26690
Autochtoon,Vrouw,2,Overig,Vrouw,2,176880
Autochtoon,Vrouw,2,Overig,Vrouw,3,92400
Autochtoon,Vrouw,2,Surinaams,Man,1,11080
Autochtoon,Vrouw,2,Surinaams,Man,2,28250
Autochtoon,Vrouw,2,Surinaams,Man,3,7310
Autochtoon,Vrouw,2,Surinaams,Vrouw,1,14630
Autochtoon,Vrouw,2,Surinaams,Vrouw,2,64950
Autochtoon,Vrouw,2,Surinaams,Vrouw,3,17140
Autochtoon,Vrouw,2,Turks,Man,1,5450
Autochtoon,Vrouw,2,Turks,Man,2,11550
Autochtoon,Vrouw,2,Turks,Man,3,4920
Autochtoon,Vrouw,2,Turks,Vrouw,1,5820
Autochtoon,Vrouw,2,Turks,Vrouw,2,23660
Autochtoon,Vrouw,2,Turks,Vrouw,3,5900
Autochtoon,Vrouw,3,Autochtoon,Man,1,33840
Autochtoon,Vrouw,3,Autochtoon,Man,2,189090
Autochtoon,Vrouw,3,Autochtoon,Man,3,807310
Autochtoon,Vrouw,3,Autochtoon,Vrouw,1,42160
Autochtoon,Vrouw,3,Autochtoon,Vrouw,2,248030
Autochtoon,Vrouw,3,Autochtoon,Vrouw,3,1271400
Autochtoon,Vrouw,3,Marokkaans,Man,1,16870
Autochtoon,Vrouw,3,Marokkaans,Man,2,26530
Autochtoon,Vrouw,3,Marokkaans,Man,3,20780
Autochtoon,Vrouw,3,Marokkaans,Vrouw,1,14260
Autochtoon,Vrouw,3,Marokkaans,Vrouw,2,43380
Autochtoon,Vrouw,3,Marokkaans,Vrouw,3,36330
Autochtoon,Vrouw,3,Overig,Man,1,31530
Autochtoon,Vrouw,3,Overig,Man,2,84300
Autochtoon,Vrouw,3,Overig,Man,3,313900
Autochtoon,Vrouw,3,Overig,Vrouw,1,28330
Autochtoon,Vrouw,3,Overig,Vrouw,2,137140
Autochtoon,Vrouw,3,Overig,Vrouw,3,429800
Autochtoon,Vrouw,3,Surinaams,Man,1,13070
Autochtoon,Vrouw,3,Surinaams,Man,2,29730
Autochtoon,Vrouw,3,Surinaams,Man,3,23910
Autochtoon,Vrouw,3,Surinaams,Vrouw,1,15530
Autochtoon,Vrouw,3,Surinaams,Vrouw,2,66250
Autochtoon,Vrouw,3,Surinaams,Vrouw,3,54500
Autochtoon,Vrouw,3,Turks,Man,1,9160
Autochtoon,Vrouw,3,Turks,Man,2,11500
Autochtoon,Vrouw,3,Turks,Man,3,14510
Autochtoon,Vrouw,3,Turks,Vrouw,1,5670
Autochtoon,Vrouw,3,Turks,Vrouw,2,19200
Autochtoon,Vrouw,3,Turks,Vrouw,3,20990
Marokkaans,Man,1,Autochtoon,Man,1,68150
Marokkaans,Man,1,Autochtoon,Man,2,17420
Marokkaans,Man,1,Autochtoon,Man,3,14460
Marokkaans,Man,1,Autochtoon,Vrouw,1,55530
Marokkaans,Man,1,Autochtoon,Vrouw,2,11390
Marokkaans,Man,1,Autochtoon,Vrouw,3,16990
Marokkaans,Man,1,Marokkaans,Man,1,105160
Marokkaans,Man,1,Marokkaans,Man,2,14890
Marokkaans,Man,1,Marokkaans,Man,3,2450
Marokkaans,Man,1,Marokkaans,Vrouw,1,89870
Marokkaans,Man,1,Marokkaans,Vrouw,2,14010
Marokkaans,Man,1,Marokkaans,Vrouw,3,2270
Marokkaans,Man,1,Overig,Man,1,81620
