geslacht_src,lft_src,geslacht_dst,lft_dst,n
Vrouw,"[20,30)",Man,"[0,20)",136160
Vrouw,"[20,30)",Man,"[20,30)",791690
Vrouw,"[20,30)",Man,"[30,40)",421620
Vrouw,"[20,30)",Man,"[40,50)",184720
Vrouw,"[20,30)",Man,"[50,60)",145230
Vrouw,"[20,30)",Man,"[60,70)",68560
Vrouw,"[20,30)",Man,"[70,80)",1410
Vrouw,"[20,30)",Vrouw,"[0,20)",212360
Vrouw,"[20,30)",Vrouw,"[20,30)",1387770
Vrouw,"[20,30)",Vrouw,"[30,40)",475460
Vrouw,"[20,30)",Vrouw,"[40,50)",234870
Vrouw,"[20,30)",Vrouw,"[50,60)",203690
Vrouw,"[20,30)",Vrouw,"[60,70)",78090
Vrouw,"[20,30)",Vrouw,"[70,80)",1240
Vrouw,"[30,40)",Man,"[0,20)",34880
Vrouw,"[30,40)",Man,"[20,30)",293750
Vrouw,"[30,40)",Man,"[30,40)",640820
Vrouw,"[30,40)",Man,"[40,50)",213680
Vrouw,"[30,40)",Man,"[50,60)",193130
Vrouw,"[30,40)",Man,"[60,70)",72820
Vrouw,"[30,40)",Man,"[70,80)",760
Vrouw,"[30,40)",Vrouw,"[0,20)",51080
Vrouw,"[30,40)",Vrouw,"[20,30)",476470
Vrouw,"[30,40)",Vrouw,"[30,40)",471730
Vrouw,"[30,40)",Vrouw,"[40,50)",286620
Vrouw,"[30,40)",Vrouw,"[50,60)",252380
Vrouw,"[30,40)",Vrouw,"[60,70)",101660
Vrouw,"[30,40)",Vrouw,"[70,80)",770
Vrouw,"[40,50)",Man,"[0,20)",19600
Vrouw,"[40,50)",Man,"[20,30)",135130
Vrouw,"[40,50)",Man,"[30,40)",240480
Vrouw,"[40,50)",Man,"[40,50)",159310
Vrouw,"[40,50)",Man,"[50,60)",164700
Vrouw,"[40,50)",Man,"[60,70)",75060
Vrouw,"[40,50)",Man,"[70,80)",810
Vrouw,"[40,50)",Vrouw,"[0,20)",31770
Vrouw,"[40,50)",Vrouw,"[20,30)",235840
Vrouw,"[40,50)",Vrouw,"[30,40)",286460
